Epoche, Batch-size, Learning-rate, Scheduler, Loss, Accuracy, Std-Loss, Std-Accuracy, Normalization
6,16,1e-4,,0.28423498799195157,88.64168061636192,0.03301603345969369,1.7705381141198837,ImageNet
6,32,1e-4,,0.28168724610469037,88.38276890720233,0.027148934173326734,1.6022309122506355,ImageNet
6,64,1e-4,,0.2712166879691503,89.02316722465449,0.026032225200730598,1.4704284135253314,ImageNet
6,128,1e-4,,0.34398812612166413,85.26267812687784,0.03446289745534374,2.0327525084808804,ImageNet
6,16,3e-4,,0.2791938087406002,89.41481564941196,0.04494118160365879,2.0627094835999507,ImageNet
6,32,3e-4,,0.25089111678677806,90.64868765559275,0.04136353354003688,1.9628837013476093,ImageNet
6,64,3e-4,,0.2255813891884505,91.42469310670444,0.030970231000033502,1.6299726333156341,ImageNet
6,128,3e-4,,0.24135096118134253,90.47968709760494,0.026061053210945713,1.4246912311023798,ImageNet
6,16,1e-3,,0.3631112738664183,86.3976360631814,0.07893751935317125,3.490666459934146,ImageNet
6,32,1e-3,,0.3185242080028356,88.76577925143789,0.10538545559937297,3.160415090005578,ImageNet
6,64,1e-3,,0.22492399412244804,89.88023650098721,0.05182324167789239,1.94793280703677,ImageNet
6,128,1e-3,,0.20306806670845767,89.59844192634561,0.032562988091231544,1.6423527839983456,ImageNet
6,16,1e-3,CosineAnnealingLR T_Max=10,0.3529032083277783,86.61836852948751,0.0675340517329071,2.9986305085611753,ImageNet
6,32,1e-3,CosineAnnealingLR T_Max=10,0.3104653357762318,88.83715340372564,0.08054662576185646,3.109678335664877,ImageNet
6,64,1e-3,CosineAnnealingLR T_Max=10,0.24324754392323514,90.89264636449481,0.04228046706142902,2.1069775303789022,ImageNet
6,128,1e-3,CosineAnnealingLR T_Max=10,0.2590733663413757,90.04372156408276,0.056197546060290454,2.7423185157873906,ImageNet
6,16,1e-3,CosineAnnealingLR T_Max=15,0.345870761530734,87.26809704695683,0.0754479506705021,2.9301384663440224,ImageNet
6,32,1e-3,CosineAnnealingLR T_Max=15,0.29511678174188927,89.22419842904971,0.07246797831564805,2.8617646815313895,ImageNet
6,64,1e-3,CosineAnnealingLR T_Max=15,0.2433618118187928,90.81773113571981,0.044633802125377826,2.080081848985839,ImageNet
6,128,1e-3,CosineAnnealingLR T_Max=15,0.26507770876235554,89.96655292299768,0.06476641057497477,2.828068109588224,ImageNet
6,64,1e-4,OneCycleLR,0.41497411071992585,88.06341209545884,0.2194442172818023,8.451386789628568, ImageNet
6,128,1e-4,OneCycleLR,0.37532798357019453,89.06160400034338,0.2785431185404938,8.2904469867668936, ImageNet
6,64,1e-4,,0.2747085388286135,88.97589385354966,0.0289208216383007,1.5137899109406905,Dataset
6,64,3e-4,,0.2270980812691191,91.2887533264658,0.04196051109487,2.112220557390628,Dataset
6,128,3e-4,,0.24403385569319336,90.35525045068246,0.025404099442601857,1.420576640530961,Dataset
6,64,0.0003,,0.23377664080177632,90.86725791913469,0.04350678991242425,2.134807597605574,ImageNet
6,64,4.295799664301752e-11,,0.2250809847314641,91.46817859902137,0.03262252043985428,1.6976422007398566,ImageNet
6,64,4.295799664301752e-11,,0.22163767243485816,92.12768263370248,0.04380513521530292,1.7188811479404735,ImageNet
6,64,7.671201774202207e-24,,0.2214850585806163,92.1070370847283,0.037347983180427,1.6771102088776995,ImageNet
